date,game_name,count
2020-01-07,Grand Theft Auto V,6357
2020-01-05,Rocket League,156949
2020-01-05,PLAYERUNKNOWN'S BATTLEGROUNDS,574
2020-01-06,PLAYERUNKNOWN'S BATTLEGROUNDS,915
2020-01-08,Grand Theft Auto V,5918
2020-01-06,Rocket League,166292
2020-01-09,PLAYERUNKNOWN'S BATTLEGROUNDS,579
2020-01-06,Grand Theft Auto V,4613
2020-01-04,Grand Theft Auto V,3995
2020-01-05,Grand Theft Auto V,6830
2020-01-09,Grand Theft Auto V,7207
2020-01-09,Rocket League,150043
2020-01-07,Rocket League,144414
2020-01-04,Rocket League,112943
2020-01-09,DARK SOULS™ III,3
2020-01-08,PLAYERUNKNOWN'S BATTLEGROUNDS,535
2020-01-07,PLAYERUNKNOWN'S BATTLEGROUNDS,563
2020-01-08,Rocket League,145943
2020-01-04,PLAYERUNKNOWN'S BATTLEGROUNDS,459
2020-01-09,Terraria,12
2020-01-02,Rocket League,129877
2020-01-02,Grand Theft Auto V,4693
2020-01-01,Rocket League,88605
2020-01-02,PLAYERUNKNOWN'S BATTLEGROUNDS,718
2020-01-01,Grand Theft Auto V,4058
2020-01-05,Terraria,20
2020-01-01,PLAYERUNKNOWN'S BATTLEGROUNDS,393
2020-01-08,Terraria,56
2020-01-07,Terraria,13
2020-01-03,Grand Theft Auto V,1496
2020-01-03,Rocket League,55327
2020-01-10,PLAYERUNKNOWN'S BATTLEGROUNDS,175
2020-01-10,Grand Theft Auto V,1555
2020-01-10,Rocket League,40444
2020-01-05,DARK SOULS™ III,4
2020-01-06,Terraria,11
2020-01-03,PLAYERUNKNOWN'S BATTLEGROUNDS,252
2020-01-01,Terraria,14
2020-01-02,Terraria,9
2020-01-03,DARK SOULS™ III,2
2020-01-10,Terraria,4
2020-01-04,Terraria,9
2020-01-03,Terraria,2
2020-01-02,DARK SOULS™ III,2
2020-01-06,DARK SOULS™ III,1
